epoch,train_loss,test_loss
1,2.7709551066204066,-0.2156719137236108
2,-0.4067267859915653,-0.46267643863634195
3,0.04778594044746111,0.07955923628257472
4,-0.08870844451327035,-0.3973659645283112
5,-0.3865633137125791,-0.42268399940228757
6,-0.5139510225329185,-0.4714444920489633
7,-0.58709676552315,-0.5536353397700522
8,-0.6355556136513331,-0.6473689647920338
9,-0.7207463044522234,-0.6641192526085141
10,-0.7532590744366129,-0.7000092400536861
11,-0.8043171290761147,-0.7778970236027682
12,-0.8388495811823294,-0.7873317783353505
13,-0.859607434122612,-0.806811809638676
14,-0.873098689715938,-0.7983833385700428
15,-0.8890737615370672,-0.7876796873953239
16,-0.8984587181437055,-0.8460066738779898
17,-0.9074329005274819,-0.7110727913677692
18,-0.9140208731410537,-0.8207653078216094
19,-0.9197552289654626,-0.8515248424707004
20,-0.9265928452861009,-0.8635003049586278
21,-0.9308944902702072,-0.8539436936194514
22,-0.9346932273966068,-0.8288411959821795
23,-0.9393812642562298,-0.8382736170227513
24,-0.9419495470878981,-0.8538226551134829
25,-0.9456069532124916,-0.8779104305776181
26,-0.9482054099326327,-0.8677351125090579
27,-0.952558329796086,-0.8696878216976737
28,-0.9549814198912823,-0.8665252159131162
29,-0.9568641801392261,-0.8748146766773712
30,-0.9586938279481995,-0.8740020145926578
31,-0.9614261447208212,-0.8498882520828902
32,-0.9646649921776039,-0.852581654774186
33,-0.9662852493591142,-0.8864584044081929
34,-0.9684277267928714,-0.8798145008491881
35,-0.9710549721647327,-0.8922476629209187
36,-0.9731995371320292,-0.8502900423505056
37,-0.9755770302941739,-0.897461196715817
38,-0.978370093861911,-0.8836162464762175
39,-0.9801887565283237,-0.8898675500196808
40,-0.9820783644555563,-0.8921546042563371
